,organization_id,organization_name,organization_pref_id,organization_web_url,organization_email,feed_id,feed_name,feed_pref_id,feed_license,feed_license_url,feed_memo,feed_src_gtfs_current_url,feed_src_gtfs_next_url,feed_src_gtfs_web_url,last_updated_at,last_published_at,latest_feed_start_date,latest_feed_end_date,feed_is_discontinued,feed_discontinued_date,real_time.trip_update_url,real_time.vehicle_position_url,real_time.alert_url,real_time.update_interval
0,gan-wu,岩宇地域公共交通活性化協議会,99,https://www.town.kyowa.hokkaido.jp/life/?category=18,kikaku@town.hokkaido-kyowa.lg.jp,shiokazeline,しおかぜライン,1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,"収録路線：しおかぜライン
GTFS-JP3版対応",,,,2025-09-22,2025-09-22,2025-10-01,2026-09-30,False,,,,,0
1,kamishihorotown,上士幌町,99,https://www.kamishihoro.jp/page/00000347,busyohouop@artisan.jp.net,kamishihoro,上士幌町コミュニティバス,1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,not_set,,,,2025-12-02,2025-12-02,2025-12-01,2026-10-31,False,,,,,0
2,kamishihorotown,上士幌町,99,https://www.kamishihoro.jp/page/00000347,busyohouop@artisan.jp.net,kamishihoro-self-bus,上士幌町自動運転バス,1,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,not_set,,,,2025-12-02,2025-12-02,2025-11-28,2026-10-31,False,,,,,0
3,nemurokotsu,根室交通株式会社,99,https://www.nemurokotsu.com/,takamoto@nemurokotsu.com,nemurobus,根室交通株式会社,1,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,,,,2025-12-24,2025-12-24,2025-12-24,2026-12-23,False,,,,,0
4,hashikamitown,階上町,99,"https://www.town.hashikami.lg.jp/index.cfm/7,0,72,225,html",seisaku@town.hashikami.lg.jp,hashikamibus,階上町コミュニティバス,2,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,金山沢線、蒼前線、田代線、東部線,,,,2025-06-25,2025-06-25,2025-04-01,2026-03-31,False,,,,,0
5,hirosakicity,弘前市,99,https://www.city.hirosaki.aomori.jp/kurashi/kotsu/index.html,chiikikoutsuu@city.hirosaki.lg.jp,kounan-tetsudou,弘南鉄道,2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,弘南線、大鰐線,,,,2025-11-06,2025-11-06,2025-06-11,2026-03-31,False,,,,,0
6,hirosakicity,弘前市,99,https://www.city.hirosaki.aomori.jp/kurashi/kotsu/index.html,chiikikoutsuu@city.hirosaki.lg.jp,hokusei-noriai,弘前市乗合タクシー（北星交通）,2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,not_set,,,,2025-11-06,2025-11-06,2025-06-16,2026-03-31,False,,,,,0
7,jr-east-morioka,JR東日本盛岡支社,99,https://traininfo.jreast.co.jp/train_info/tohoku.aspx,kikaku21chikirenkeig@gmail.com,JReast_wandotaxi,わんタク定時便,2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,2025年度からわんタクは実証実験から本格運行に移行いたします。,,,,2025-12-05,2025-12-05,2025-12-15,2026-03-31,False,,,,,0
8,jr-east-morioka,JR東日本盛岡支社,99,https://traininfo.jreast.co.jp/train_info/tohoku.aspx,kikaku21chikirenkeig@gmail.com,JR-east_tsugaruline,JR津軽線代行バス（蟹田駅～三厩体育館）,2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,,,,2025-12-05,2025-12-05,2025-12-15,2026-03-31,False,,,,,0
9,jr-east-morioka,JR東日本盛岡支社,99,https://traininfo.jreast.co.jp/train_info/tohoku.aspx,kikaku21chikirenkeig@gmail.com,JR-east_wandotaxi,わんタク定時便（JR津軽線実証実験）,2,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,蟹田駅から龍飛埼灯台,,,,2025-02-27,2025-02-27,2025-03-15,2025-04-30,True,2025-03-31,,,,0
10,tohokutown,東北町,99,https://www.town.tohoku.lg.jp/kurashi/life/bus.html,kikaku@town.tohoku.lg.jp,tohoku-town-bus,東北町町民バス,2,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,not_set,,,,2026-01-05,2026-01-05,2025-12-24,2026-03-31,False,,,,,0
